Data Set 1:Time(s),Data Set 1:pH
150,5.410139561
150.5,5.411743641
151,5.412545681
151.5,5.410941601
152,5.412545681
152.5,5.412545681
153,5.411743641
153.5,5.411743641
154,5.410139561
154.5,5.411743641
155,5.40853548
155.5,5.410941601
156,5.4069314
156.5,5.40612936
157,5.40773344
157.5,5.40612936
158,5.403723717
158.5,5.40532732
159,5.403723717
159.5,5.400515556
160,5.399713516
160.5,5.399713516
161,5.396505356
161.5,5.384475231
162,5.382871151
162.5,5.377257347
163,5.370841026
163.5,5.368434906
164,5.372445107
164.5,5.372445107
165,5.364424706
165.5,5.374049187
166,5.377257347
166.5,5.380465031
167,5.377257347
167.5,5.381267071
168,5.379662991
168.5,5.380465031
169,5.37886095
169.5,5.374049187
170,5.372445107
170.5,5.368434906
171,5.364424706
171.5,5.364424706
172,5.361217022
172.5,5.362018585
173,5.361217022
173.5,5.361217022
174,5.353196621
174.5,5.343572617
175,5.337958336
175.5,5.329938412
176,5.324324608
176.5,5.318710327
177,5.310689926
177.5,5.303472042
178,5.304274082
178.5,5.304274082
179,5.303472042
179.5,5.303472042
180,5.307482243
180.5,5.308284283
181,5.304274082
181.5,5.424575806
182,5.524827003
182.5,5.569739342
183,5.598611832
183.5,5.624276161
184,5.640316963
184.5,5.663575172
185,5.686833382
185.5,5.70447731
186,5.725329876
186.5,5.737360001
187,5.750192165
187.5,5.755805969
188,5.76382637
188.5,5.775054455
189,5.787084579
189.5,5.796709061
190,5.806332588
190.5,5.811946869
191,5.81836319
191.5,5.844829559
192,5.861671448
192.5,5.868889809
193,5.874504089
193.5,5.884929657
194,5.940268517
194.5,5.951497078
195,5.957912922
195.5,5.961121082
196,5.961121082
196.5,5.962725163
197,5.968338966
197.5,5.965130806
198,5.969943047
198.5,5.970745087
199,5.972349167
199.5,5.974755287
200,5.973953247
200.5,5.986785412
201,5.996409416
201.5,6.005231857
202,6.018063545
202.5,6.023677826
203,6.030896187
203.5,6.03410387
204,6.038114071
204.5,6.043727875
205,6.064580441
205.5,6.070996284
206,6.066986561
206.5,6.065382481
207,6.05896616
207.5,6.052550316
208,6.044529915
208.5,6.047738075
209,6.042926311
209.5,6.038916111
210,6.038916111
210.5,6.037312031
211,6.039718151
211.5,6.03330183
212,6.03330183
212.5,6.027688026
213,6.045331955
213.5,6.054154396
214,6.05896616
214.5,6.071798325
215,6.074204445
215.5,6.074204445
216,6.072600365
216.5,6.079818726
217,6.079818726
217.5,6.082224846
218,6.081422806
218.5,6.085432529
219,6.084630966
219.5,6.08623457
220,6.08864069
220.5,6.09345293
221,6.099066734
221.5,6.08783865
222,6.08944273
222.5,6.08783865
223,6.08864069
223.5,6.085432529
224,6.068590641
224.5,6.100670815
225,6.085432529
225.5,6.080620766
226,6.077412605
226.5,6.077412605
227,6.079016685
227.5,6.079016685
228,6.080620766
228.5,6.081422806
229,6.083828926
229.5,6.085432529
230,6.085432529
230.5,6.084630966
231,6.095859051
231.5,6.095859051
232,6.094254971
232.5,6.09345293
233,6.095057011
233.5,6.094254971
234,6.09184885
234.5,6.095859051
235,6.103076935
235.5,6.133553505
236,6.160821915
236.5,6.173654079
237,6.184882164
237.5,6.196110249
238,6.200120449
238.5,6.207338333
239,6.210546494
239.5,6.216962337
240,6.220972538
240.5,6.223378658
241,6.232200623
241.5,6.237012863
242,6.238616943
242.5,6.242626667
243,6.244230747
243.5,6.245834827
244,6.256260872
244.5,6.263479233
245,6.271499157
245.5,6.275509357
246,6.275509357
246.5,6.279519081
247,6.279519081
247.5,6.283529282
248,6.281925201
248.5,6.283529282
249,6.289143562
249.5,6.301173687
250,6.290747643
250.5,6.300371647
251,6.296361446
251.5,6.298767567
252,6.301173687
252.5,6.304381847
253,6.305183411
253.5,6.303579807
254,6.304381847
254.5,6.305985451
255,6.305985451
255.5,6.306787491
256,6.306787491
256.5,6.304381847
257,6.304381847
257.5,6.301975727
258,6.306787491
258.5,6.305985451
259,6.318016052
259.5,6.309995651
260,6.309995651
260.5,6.322025776
261,6.315609932
261.5,6.321223736
262,6.321223736
262.5,6.328442097
263,6.326035976
263.5,6.326035976
264,6.326838017
264.5,6.328442097
265,6.330046177
265.5,6.328442097
266,6.329244137
266.5,6.328442097
267,6.330046177
267.5,6.327640057
268,6.326838017
268.5,6.33245182
269,6.33164978
269.5,6.33245182
270,6.33245182
270.5,6.33164978
271,6.33164978
271.5,6.33084774
272,6.33164978
272.5,6.330046177
273,6.330046177
273.5,6.328442097
274,6.328442097
274.5,6.33084774
275,6.329244137
275.5,6.33084774
276,6.33084774
276.5,6.330046177
277,6.329244137
277.5,6.328442097
278,6.329244137
278.5,6.329244137
279,6.327640057
279.5,6.328442097
280,6.324431896
280.5,6.325233936
281,6.325233936
281.5,6.324431896
282,6.322827816
282.5,6.325233936
283,6.323629856
283.5,6.320421696
284,6.321223736
284.5,6.320421696
285,6.319619656
285.5,6.428693295
286,6.485636234
286.5,6.542578697
287,6.591501713
287.5,6.634809971
288,6.670098782
288.5,6.702178955
289,6.729447365
289.5,6.755111694
290,6.778369904
290.5,6.799222469
291,6.819272518
291.5,6.835312843
292,6.851353168
292.5,6.868195534
293,6.879423618
293.5,6.894661903
294,6.904285908
294.5,6.917920113
295,6.931554317
295.5,6.943584442
296,6.951604366
296.5,6.965238571
297,6.975664616
297.5,6.981278896
298,6.990902901
298.5,6.997319221
299,7.006943226
299.5,7.013359547
300,7.022181511
300.5,7.029399395
301,7.032607555
301.5,7.04062748
302,7.048647881
302.5,7.054261684
303,7.062282085
303.5,7.07030201
304,7.079926014
304.5,7.083936214
305,7.090352535
305.5,7.095966339
306,7.10238266
306.5,7.106392384
307,7.113610744
307.5,7.116818905
308,7.123234749
308.5,7.128046989
309,7.132858753
309.5,7.137670994
310,7.140879154
310.5,7.146492958
311,7.149701118
311.5,7.152107239
312,7.156919479
312.5,7.160127163
313,7.162533283
313.5,7.168147564
314,7.169751644
314.5,7.174563408
315,7.175365448
315.5,7.176167488
316,7.180979729
316.5,7.185791492
317,7.187395573
317.5,7.192207813
318,7.194613934
318.5,7.197020054
319,7.201831818
319.5,7.207446098
320,7.209852219
320.5,7.215466022
321,7.220278263
321.5,7.224287987
322,7.228298187
322.5,7.232308388
323,7.237120152
323.5,7.244338512
324,7.258774757
324.5,7.268398762
325,7.278022766
325.5,7.286845207
326,7.291656971
326.5,7.299677372
327,7.309301376
327.5,7.31571722
328,7.324539661
328.5,7.334965706
329,7.34298563
329.5,7.350203991
330,7.359827995
330.5,7.366244316
331,7.37105608
331.5,7.356619835
332,7.379076481
332.5,7.388700485
333,7.40233469
333.5,7.412760735
334,7.435216904
334.5,7.440029144
335,7.471307755
335.5,7.485743523
336,7.500981808
336.5,7.513011932
337,7.525844097
337.5,7.535468578
338,7.539478302
338.5,7.552310467
339,7.557122707
339.5,7.560330868
340,7.611659527
340.5,7.609253407
341,7.609253407
341.5,7.618075371
342,7.634115696
342.5,7.638927937
343,7.651760101
343.5,7.66779995
344,7.675820351
344.5,7.680632591
345,7.688652515
345.5,7.693464756
346,7.70068264
346.5,7.70308876
347,7.707098961
347.5,7.70308876
348,7.716722965
348.5,7.72634697
349,7.738377094
349.5,7.741585255
350,7.743189335
350.5,7.744793415
351,7.740783215
351.5,7.743189335
352,7.754417419
352.5,7.748803139
353,7.76083374
353.5,7.750407219
354,7.73115921
354.5,7.764843464
355,7.769655704
355.5,7.78569603
356,7.789705753
356.5,7.796924114
357,7.806548119
357.5,7.808954239
358,7.814568043
358.5,7.821786404
359,7.826598167
359.5,7.832212448
360,7.835420609
360.5,7.838628769
361,7.843440533
361.5,7.845044613
362,7.849054813
362.5,7.853064537
363,7.839430809
363.5,7.896373272
364,7.867500782
364.5,7.873917103
365,7.880332947
365.5,7.883541107
366,7.911611557
366.5,7.905997276
367,7.924443722
367.5,7.927651882
368,7.925245762
368.5,7.930859566
369,7.938077927
369.5,7.939682007
370,7.940484047
370.5,7.942088127
371,7.940484047
371.5,7.941286087
372,7.941286087
372.5,7.940484047
373,7.943692207
373.5,7.940484047
374,7.938879967
374.5,7.938077927
375,7.939682007
375.5,7.937275887
376,7.936473846
376.5,7.935671806
377,7.931661606
377.5,7.933265686
378,7.934067726
378.5,7.930058002
379,7.927651882
379.5,7.926047802
380,7.925245762
380.5,7.923641682
381,7.922839642
381.5,7.918027878
382,7.919631481
382.5,7.935671806
383,7.898779392
383.5,7.925245762
384,7.930859566
384.5,7.938077927
385,7.944494247
385.5,7.950108051
386,7.956524372
386.5,7.961336136
387,7.970158577
387.5,7.962138176
388,7.970960617
388.5,7.982990742
389,7.974970341
389.5,7.978178501
390,7.974168301
390.5,7.975772381
391,7.980584621
391.5,7.978178501
392,7.984594345
392.5,7.984594345
393,7.984594345
393.5,7.984594345
394,7.986198425
394.5,7.985396385
395,7.986198425
395.5,7.987802505
396,7.987802505
396.5,7.988604546
397,7.991010666
397.5,7.989406586
398,7.988604546
398.5,7.982990742
399,7.989406586
399.5,7.993416786
400,7.995822906
400.5,7.99822855
401,7.99903059
401.5,8.003843307
402,8.004644394
402.5,8.005446434
403,8.007852554
403.5,8.008654594
404,8.009456635
404.5,8.011060715
405,8.009456635
405.5,8.011862755
406,8.013466835
406.5,8.018279076
407,8.014268875
407.5,8.011060715
408,8.014268875
408.5,8.015872955
409,8.016674995
409.5,8.017477036
410,8.016674995
410.5,8.019883156
411,8.019081116
411.5,8.019081116
412,8.019081116
412.5,8.018279076
413,8.019883156
413.5,8.014268875
414,8.009456635
414.5,8.043943405
415,8.017477036
415.5,8.025497437
416,8.026299477
416.5,8.027101517
417,8.027903557
417.5,8.022289276
418,8.024695396
418.5,8.023893356
419,8.015070915
419.5,8.023091316
420,8.024695396
420.5,8.024695396
421,8.023091316
421.5,8.023091316
422,8.020685196
422.5,8.022289276
423,8.019883156
423.5,8.019081116
424,8.017477036
424.5,8.016674995
425,8.015872955
425.5,8.015070915
426,8.013466835
426.5,8.012664795
427,8.011060715
427.5,8.010258675
428,8.004644394
428.5,8.003843307
429,7.963742256
429.5,7.982188702
430,8.015070915
430.5,8.012664795
431,8.014268875
431.5,8.015872955
432,8.017477036
432.5,8.018279076
433,8.019883156
433.5,8.020685196
434,8.022289276
434.5,8.017477036
435,8.019081116
435.5,8.019883156
436,8.020685196
436.5,8.024695396
437,8.003040314
437.5,8.029506683
438,8.020685196
438.5,8.019883156
439,8.019081116
439.5,7.997426987
440,8.021487236
440.5,8.023091316
441,8.027101517
441.5,8.023893356
442,8.023893356
442.5,8.025497437
443,8.024695396
443.5,8.026299477
444,8.027101517
444.5,8.027903557
445,8.026299477
445.5,8.023893356
446,8.022289276
446.5,8.024695396
447,8.025497437
447.5,8.024695396
448,8.023091316
448.5,8.020685196
449,8.020685196
449.5,8.017477036
450,8.017477036
450.5,8.015872955
451,8.015872955
451.5,8.015070915
452,8.015070915
452.5,8.014268875
453,8.011862755
453.5,8.011060715
454,8.010258675
454.5,8.048755646
455,8.015070915
455.5,8.012664795
456,8.007050514
456.5,8.003843307
457,8.000635147
457.5,8.000635147
458,7.99822855
458.5,7.99822855
459,7.995822906
459.5,7.991812706
460,7.991010666
460.5,7.988604546
461,7.987000465
461.5,7.987000465
462,7.987000465
462.5,7.986198425
463,7.987802505
463.5,7.983792305
464,7.990208626
464.5,7.977376461
465,7.981386662
465.5,7.979782581
466,7.978980541
466.5,7.978980541
467,7.978980541
467.5,7.973366261
468,7.960534096
468.5,7.954920292
469,7.952514172
469.5,7.950910091
470,7.949306011
470.5,7.946899891
471,7.944494247
471.5,7.944494247
472,7.941286087
472.5,7.938879967
473,7.938879967
473.5,7.938077927
474,7.935671806
474.5,7.935671806
475,7.934869766
475.5,7.932463646
476,7.935671806
476.5,7.929255962
477,7.835420609
477.5,7.715118885
478,7.654968262
478.5,7.610055447
479,7.571558952
479.5,7.536270618
480,7.505794048
480.5,7.475317478
481,7.448049068
481.5,7.423988819
482,7.39832449
482.5,7.367847919
483,7.353412151
483.5,7.332559586
484,7.314113617
484.5,7.296469212
485,7.278022766
485.5,7.261982918
486,7.237120152
486.5,7.210654259
487,7.193009853
487.5,7.175365448
488,7.157721519
488.5,7.138473034
489,7.125640869
489.5,7.10238266
490,7.082332134
490.5,7.067093849
491,7.051856041
491.5,7.04062748
492,7.029399395
492.5,7.01656723
493,7.009349346
493.5,6.994111061
494,6.984487057
494.5,6.978872776
495,6.969248772
495.5,6.963634491
496,6.958020687
496.5,6.949198246
497,6.941980362
497.5,6.935564041
498,6.928346157
498.5,6.924335957
499,6.917118073
499.5,6.915513992
500,6.906692028
500.5,6.900275707
501,6.894661903
501.5,6.889047623
502,6.885037422
502.5,6.879423618
503,6.872205257
503.5,6.863383293
504,6.863383293
504.5,6.856165409
505,6.852155209
505.5,6.842531204
506,6.843333244
506.5,6.832906723
507,6.798420429
507.5,6.767141819
508,6.752705574
508.5,6.737467766
509,6.731853485
509.5,6.728645325
510,6.725437641
510.5,6.721427441
511,6.7166152
511.5,6.711803436
512,6.711803436
512.5,6.711803436
513,6.709397316
513.5,6.698971272
514,6.706991196
514.5,6.698971272
515,6.697367191
515.5,6.686941147
516,6.693356991
516.5,6.691752911
517,6.69014883
517.5,6.68854475
518,6.686941147
518.5,6.669296741
519,6.639622211
519.5,6.629196167
520,6.620374203
520.5,6.615561962
521,6.608343601
521.5,6.604333878
522,6.602729797
522.5,6.599521637
523,6.593907833
523.5,6.589095592
524,6.590699673
524.5,6.585887432
525,6.565035343
525.5,6.557816982
526,6.546588898
526.5,6.530548573
527,6.526538849
527.5,6.521726608
528,6.516112328
528.5,6.508894444
529,6.506488323
529.5,6.505686283
530,6.505686283
530.5,6.500874519
531,6.501676559
531.5,6.489645958
532,6.500874519
532.5,6.5024786
533,6.478417873
533.5,6.459169865
534,6.453555584
534.5,6.453555584
535,6.453555584
535.5,6.455961704
536,6.452753544
536.5,6.47360611
537,6.895463943
537.5,7.142483234
538,7.273211002
538.5,7.352610111
539,7.395116329
539.5,7.411958694
540,7.419177055
540.5,7.408750534
541,7.425592899
541.5,7.440831184
542,7.452059269
542.5,7.452059269
543,7.473713398
543.5,7.479327679
544,7.488951683
544.5,7.514616013
545,7.602837563
545.5,7.621283531
546,7.622085571
546.5,7.623689651
547,7.618877411
547.5,7.619679451
548,7.616471291
548.5,7.611659527
549,7.610055447
549.5,7.610857487
550,7.605243206
550.5,7.604441166
551,7.598025322
551.5,7.594015121
552,7.596421242
552.5,7.596421242
553,7.590806961
553.5,7.585995197
554,7.585995197
554.5,7.582787037
555,7.580380917
555.5,7.577173233
556,7.573965073
556.5,7.573163033
557,7.570756912
557.5,7.565944672
558,7.572360992
558.5,7.566746712
559,7.559528828
559.5,7.553112507
560,7.553914547
560.5,7.550706863
561,7.552310467
561.5,7.553914547
562,7.550706863
562.5,7.550706863
563,7.549102783
563.5,7.548300743
564,7.545092583
564.5,7.544290543
565,7.544290543
565.5,7.541884422
566,7.541884422
566.5,7.538676262
567,7.539478302
567.5,7.537072182
568,7.533864498
568.5,7.532260418
569,7.533062458
569.5,7.530656338
570,7.529052258
570.5,7.529052258
571,7.528250217
571.5,7.525844097
572,7.524240494
572.5,7.523438454
573,7.522636414
573.5,7.521834373
574,7.518626213
574.5,7.522636414
575,7.517022133
575.5,7.519428253
576,7.517824173
576.5,7.515418053
577,7.517022133
577.5,7.514616013
578,7.513813972
578.5,7.510606289
579,7.510606289
579.5,7.509804249
580,7.496170044
580.5,7.500981808
581,7.495368004
581.5,7.503387928
582,7.482535839
582.5,7.479327679
583,7.475317478
583.5,7.468099594
584,7.464089394
584.5,7.461683273
585,7.45767355
585.5,7.45687151
586,7.455267429
586.5,7.451257229
587,7.452861309
587.5,7.451257229
588,7.448049068
588.5,7.446445465
589,7.444841385
589.5,7.443237305
590,7.440831184
590.5,7.438425064
591,7.451257229
591.5,7.436018944
592,7.440831184
592.5,7.432810783
593,7.43200922
593.5,7.43200922
594,7.43040514
594.5,7.42880106
595,7.42799902
595.5,7.42719698
596,7.439227104
596.5,7.422384739
597,7.420780659
597.5,7.417572975
598,7.418375015
598.5,7.417572975
599,7.413562775
599.5,7.411156654
600,7.407948494
600.5,7.407948494
601,7.40554285
601.5,7.40313673
602,7.40233469
602.5,7.40073061
603,7.39912653
603.5,7.396720409
604,7.392710686
604.5,7.387898445
605,7.388700485
605.5,7.418375015
606,7.422384739
606.5,7.420780659
607,7.417572975
607.5,7.412760735
608,7.410354614
608.5,7.411958694
609,7.406344414
609.5,7.406344414
610,7.40313673
610.5,7.39832449
611,7.39832449
611.5,7.396720409
612,7.394314289
612.5,7.392710686
613,7.391908646
613.5,7.390304565
614,7.388700485
614.5,7.387898445
615,7.386294365
615.5,7.383086205
616,7.380680084
616.5,7.378274441
617,7.3734622
617.5,7.37105608
618,7.367847919
618.5,7.363036156
619,7.365442276
619.5,7.357421875
620,7.352610111
620.5,7.351808071
621,7.346995831
621.5,7.346995831
622,7.346995831
622.5,7.34539175
623,7.34218359
623.5,7.340579987
624,7.34218359
624.5,7.341382027
625,7.339777946
625.5,7.334965706
626,7.334965706
626.5,7.333361626
627,7.328549385
627.5,7.338173866
628,7.324539661
628.5,7.326945782
629,7.324539661
629.5,7.326143742
630,7.324539661
630.5,7.320529461
631,7.31651926
631.5,7.328549385
632,7.310905457
632.5,7.308499336
633,7.302885056
633.5,7.302885056
634,7.300479412
634.5,7.298073292
635,7.296469212
635.5,7.296469212
636,7.294865131
636.5,7.292459011
637,7.291656971
637.5,7.292459011
638,7.291656971
638.5,7.290052891
639,7.287647247
639.5,7.288449287
640,7.290052891
640.5,7.285241127
641,7.286043167
641.5,7.283637047
642,7.284439087
642.5,7.282032967
643,7.282032967
643.5,7.282835007
644,7.282835007
644.5,7.280428886
645,7.282032967
645.5,7.282835007
646,7.277220726
646.5,7.279626846
647,7.278824806
647.5,7.278824806
648,7.278022766
648.5,7.213861942
649,7.268398762
649.5,7.557924747
650,7.37025404
650.5,7.215466022
651,7.268398762
651.5,8.131362915
652,9.558139801
652.5,9.644757271
653,9.614280701
653.5,9.583804131
654,9.538089752
654.5,9.490771294
655,9.527663231
655.5,9.499592781
656,9.476334572
656.5,9.494781494
657,9.481948853
657.5,9.434630394
658,9.447462082
658.5,9.380093575
659,9.395331383
659.5,9.133073807
660,9.161144257
660.5,9.295882225
661,9.356033325
