Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),Data Set 6:Time(s),Data Set 6:Force G(N),Data Set 7:Time(s),Data Set 7:Force G(N),Data Set 8:Time(s),Data Set 8:Force G(N),Data Set 9:Time(s),Data Set 9:Force G(N),Data Set 10:Time(s),Data Set 10:Force G(N)
,,,,2.7400000000000002,-0.027008056640625,2.7400000000000002,-0.02077484130859375,2.7400000000000002,-0.0124664306640625,,,2.7400000000000002,0.0166168212890625,,,2.7400000000000002,-0.0103912353515625,2.7400000000000002,-0.0124664306640625
,,,,2.7599999999999998,-0.02285003662109375,2.7599999999999998,-0.02077484130859375,2.7599999999999998,-0.0166168212890625,,,2.7599999999999998,0.0166168212890625,,,2.7599999999999998,-0.0145416259765625,2.7599999999999998,-0.0166168212890625
,,,,2.7799999999999998,-0.029083251953125,2.7799999999999998,-0.0166168212890625,2.7799999999999998,-0.01869964599609375,,,2.7799999999999998,0.01453399658203125,,,2.7799999999999998,-0.0103912353515625,2.7799999999999998,-0.0103912353515625
,,,,2.7999999999999998,-0.02492523193359375,2.7999999999999998,-0.027008056640625,2.7999999999999998,-0.0124664306640625,,,2.7999999999999998,0.0166168212890625,,,2.7999999999999998,-0.0145416259765625,2.7999999999999998,-0.0103912353515625
,,,,2.8199999999999998,-0.027008056640625,2.8199999999999998,-0.0166168212890625,2.8199999999999998,-0.0145416259765625,,,2.8199999999999998,0.00830841064453125,,,2.8199999999999998,-0.0103912353515625,2.8199999999999998,-0.0124664306640625
,,,,2.8399999999999999,-0.00830841064453125,2.8399999999999999,-0.027008056640625,2.8399999999999999,-0.01869964599609375,,,2.8399999999999999,0.01038360595703125,,,2.8399999999999999,-0.0145416259765625,2.8399999999999999,-0.0145416259765625
,,,,2.8599999999999999,0.04361724853515625,2.8599999999999999,-0.0145416259765625,2.8599999999999999,-0.0166168212890625,,,2.8599999999999999,0.0186920166015625,,,2.8599999999999999,-0.00623321533203125,2.8599999999999999,-0.02077484130859375
,,,,2.8799999999999999,0.170318603515625,2.8799999999999999,-0.02077484130859375,2.8799999999999999,-0.0166168212890625,,,2.8799999999999999,0.0207672119140625,,,2.8799999999999999,-0.0124664306640625,2.8799999999999999,-0.0166168212890625
,,,,2.8999999999999999,0.30741119384765625,2.8999999999999999,-0.01869964599609375,2.8999999999999999,-0.0145416259765625,,,2.8999999999999999,0.01453399658203125,,,2.8999999999999999,-0.0124664306640625,2.8999999999999999,-0.0145416259765625
,,,,2.9199999999999999,0.39672088623046875,2.9199999999999999,-0.0166168212890625,2.9199999999999999,-0.0103912353515625,,,2.9199999999999999,0.01245880126953125,,,2.9199999999999999,-0.0103912353515625,2.9199999999999999,-0.00830841064453125
