Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),,,
,,1.8,-0.022850037,1.8,-0.016616821,1.8,-0.018699646,1.8,-0.008308411,,,
,,1.82,-0.020767212,1.82,-0.020774841,1.82,-0.022850037,1.82,-0.010391235,,,
,,1.84,-0.014541626,1.84,-0.029083252,1.84,-0.027008057,1.84,-0.014541626,,,
,,1.86,-0.012458801,1.86,-0.022850037,1.86,-0.022850037,1.86,-0.010391235,,,
,,1.88,-0.014541626,1.88,-0.020774841,1.88,-0.022850037,1.88,-0.016616821,,,
,,1.9,-0.020767212,1.9,-0.022850037,1.9,-0.014541626,1.9,-0.00415802,,,
,,1.92,-0.014541626,1.92,-0.020774841,1.92,-0.018699646,1.92,-0.008308411,,,
,,1.94,-0.016616821,1.94,-0.027008057,1.94,-0.020774841,1.94,-0.018699646,,,
,,1.96,-0.018692017,1.96,-0.024925232,1.96,-0.022850037,1.96,-0.010391235,,,
,,1.98,-0.014541626,1.98,-0.020774841,1.98,-0.024925232,1.98,-0.010391235,,,
,,2,-0.016616821,2,-0.033233643,2,-0.024925232,2,-0.012466431,,,
,,2.02,-0.010383606,2.02,-0.018699646,2.02,-0.020774841,2.02,-0.010391235,,,
,,2.04,-0.014541626,2.04,-0.020774841,2.04,-0.016616821,2.04,-0.020774841,,,
,,2.06,-0.018692017,2.06,-0.022850037,2.06,-0.018699646,2.06,-0.016616821,,,
,,2.08,-0.018692017,2.08,-0.027008057,2.08,-0.022850037,2.08,-0.014541626,,,
,,,,2.1,-0.022850037,2.1,-0.020774841,2.1,-0.014541626,,,
,,,,2.12,-0.022850037,2.12,-0.016616821,2.12,-0.014541626,,,
,,,,2.14,-0.033233643,2.14,-0.016616821,2.14,-0.014541626,,,
,,,,2.16,-0.031158447,2.16,-0.022850037,2.16,-0.014541626,,,
,,,,2.18,-0.027008057,2.18,-0.016616821,2.18,-0.014541626,,,
,,,,2.2,-0.024925232,2.2,-0.014541626,2.2,-0.016616821,,,
,,,,2.22,-0.029083252,2.22,-0.022850037,2.22,-0.010391235,,,
,,,,2.24,-0.022850037,2.24,-0.014541626,2.24,-0.014541626,,,
,,,,2.26,-0.031158447,2.26,-0.016616821,2.26,-0.012466431,,,
,,,,2.28,-0.031158447,2.28,-0.018699646,2.28,-0.016616821,,,
,,,,2.3,-0.029083252,2.3,-0.022850037,2.3,-0.012466431,,,
,,,,2.32,-0.035316467,2.32,-0.018699646,2.32,-0.008308411,,,
,,,,2.34,-0.031158447,2.34,-0.022850037,2.34,-0.006233215,,,
,,,,2.36,-0.027008057,2.36,-0.016616821,2.36,-0.014541626,,,
,,,,2.38,-0.031158447,2.38,-0.027008057,2.38,-0.014541626,,,
,,,,2.4,-0.031158447,2.4,-0.016616821,2.4,-0.016616821,,,
,,,,2.42,-0.035316467,2.42,-0.018699646,2.42,-0.010391235,,,
,,,,2.44,-0.027008057,2.44,-0.027008057,2.44,-0.016616821,,,
,,,,2.46,-0.033233643,2.46,-0.024925232,2.46,-0.018699646,,,
,,,,2.48,-0.024925232,2.48,-0.018699646,2.48,-0.012466431,,,
,,,,2.5,-0.029083252,2.5,-0.020774841,2.5,-0.024925232,,,
,,,,2.52,-0.029083252,2.52,-0.018699646,2.52,-0.020774841,,,
,,,,2.54,-0.029083252,2.54,-0.029083252,2.54,-0.016616821,,,
,,,,2.56,-0.029083252,2.56,-0.022850037,2.56,-0.016616821,,,
,,,,2.58,-0.029083252,2.58,-0.022850037,2.58,-0.012466431,,,
,,,,2.6,-0.029083252,2.6,-0.018699646,2.6,-0.008308411,,,
,,,,2.62,-0.022850037,2.62,-0.014541626,2.62,-0.010391235,,,
,,,,2.64,-0.024925232,2.64,-0.024925232,2.64,-0.012466431,,,
,,,,2.66,-0.020774841,2.66,-0.022850037,2.66,-0.008308411,,,
,,,,2.68,-0.020774841,2.68,-0.022850037,2.68,-0.008308411,,,
,,,,2.7,-0.029083252,2.7,-0.024925232,2.7,-0.006233215,,,
,,,,2.72,-0.022850037,2.72,-0.018699646,2.72,-0.006233215,,,
,,,,2.74,-0.027008057,2.74,-0.020774841,2.74,-0.012466431,,,
,,,,2.76,-0.022850037,2.76,-0.020774841,2.76,-0.016616821,,,
,,,,2.78,-0.029083252,2.78,-0.016616821,2.78,-0.018699646,,,
,,,,2.8,-0.024925232,2.8,-0.027008057,2.8,-0.012466431,,,
,,,,2.82,-0.027008057,2.82,-0.016616821,2.82,-0.014541626,,,
,,,,2.84,-0.008308411,2.84,-0.027008057,2.84,-0.018699646,,,
,,,,2.86,0.043617249,2.86,-0.014541626,2.86,-0.016616821,,,
,,,,2.88,0.170318604,2.88,-0.020774841,2.88,-0.016616821,,,
,,,,2.9,0.307411194,2.9,-0.018699646,2.9,-0.014541626,,,
,,,,2.92,0.396720886,2.92,-0.016616821,2.92,-0.010391235,,,
,,,,2.94,0.432037354,2.94,-0.018699646,2.94,-0.012466431,,,
,,,,2.96,0.456962585,2.96,-0.016616821,2.96,-0.008308411,,,
,,,,2.98,0.459037781,2.98,-0.024925232,2.98,-0.016616821,,,
,,,,3,0.440345764,3,-0.024925232,3,-0.018699646,,,
,,,,3.02,0.415420532,3.02,-0.020774841,3.02,-0.014541626,,,
,,,,3.04,0.411262512,3.04,-0.016616821,3.04,-0.010391235,,,
,,,,3.06,0.3904953,3.06,-0.018699646,3.06,-0.016616821,,,
,,,,3.08,0.367645264,3.08,-0.020774841,3.08,-0.008308411,,,
,,,,3.1,0.348953247,3.1,-0.022850037,3.1,-0.024925232,,,
,,,,3.12,0.32610321,3.12,-0.020774841,3.12,-0.014541626,,,
,,,,3.14,0.274177551,3.14,-0.016616821,3.14,-0.014541626,,,
,,,,3.16,0.25340271,3.16,-0.018699646,3.16,-0.010391235,,,
,,,,3.18,0.170318604,3.18,-0.016616821,3.18,0.066467285,,,
,,,,3.2,0.108009338,3.2,-0.020774841,3.2,0.143318176,,,
,,,,3.22,0.05607605,3.22,-0.027008057,3.22,0.172393799,,,
,,,,3.24,0.006225586,3.24,-0.018699646,3.24,0.19316864,,,
,,,,3.26,-0.006233215,3.26,-0.014541626,3.26,0.197319031,,,
,,,,3.28,-0.014541626,3.28,-0.018699646,3.28,0.201477051,,,
,,,,3.3,-0.022850037,3.3,-0.012466431,3.3,0.195243835,,,
,,,,3.32,-0.022850037,3.32,-0.018699646,3.32,0.180702209,,,
,,,,3.34,-0.020774841,3.34,-0.014541626,3.34,0.178627014,,,
,,,,3.36,-0.018699646,3.36,-0.018699646,3.36,0.166168213,,,
,,,,3.38,0.06854248,3.38,-0.016616821,3.38,0.159934998,,,
,,,,3.4,0.205627441,3.4,-0.024925232,3.4,0.143318176,,,
,,,,3.42,0.272094727,3.42,-0.020774841,3.42,0.143318176,,,
,,,,3.44,0.234710693,3.44,-0.022850037,3.44,0.089309692,,,
,,,,3.46,0.151626587,3.46,-0.020774841,3.46,0.033233643,,,
,,,,3.48,0.066467285,3.48,-0.022850037,3.48,0.002075195,,,
,,,,3.5,0.006225586,3.5,-0.022850037,3.5,-0.008308411,,,
,,,,3.52,-0.010391235,3.52,-0.020774841,3.52,-0.008308411,,,
,,,,3.54,-0.014541626,3.54,-0.022850037,3.54,-0.018699646,,,
,,,,3.56,-0.016616821,3.56,-0.016616821,3.56,-0.014541626,,,
,,,,3.58,-0.018699646,3.58,-0.024925232,3.58,-0.012466431,,,
,,,,3.6,-0.014541626,3.6,-0.024925232,3.6,-0.010391235,,,
,,,,3.62,0.062309265,3.62,-0.016616821,3.62,-0.016616821,,,
,,,,3.64,0.230552673,3.64,-0.010391235,3.64,0.010383606,,,
,,,,3.66,0.365570068,3.66,-0.020774841,3.66,0.101776123,,,
,,,,3.68,0.454879761,3.68,-0.018699646,3.68,0.201477051,,,
,,,,3.7,0.598205566,3.7,-0.014541626,3.7,0.261711121,,,
,,,,3.72,0.716598511,3.72,-0.016616821,3.72,0.299102783,,,
