Time,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5
2.34,-0.00415802,-0.0290756,0.047775269,0.290794373,0.569129944,0.297027588
2.36,-0.00415802,-0.037384,0.085159302,0.303253174,0.58367157,0.292869568
2.38,0,-0.037384,0.110084534,0.32610321,0.596130371,0.307411194
2.4,-0.006233215,-0.037384,0.18901825,0.338569641,0.585746765,0.359336853
2.42,0,-0.0353088,0.332336426,0.307411194,0.554588318,0.405036926
2.44,0.002075195,-0.0415421,0.500579834,0.19316864,0.496429443,0.409187317
2.46,-0.00415802,-0.0353088,0.656364441,0.076850891,0.429962158,0.348953247
2.48,-0.008308411,-0.037384,0.76852417,0.035308838,0.396728516,0.265869141
2.5,0.002075195,-0.0353088,0.820457458,0.087234497,0.38218689,0.159934998
2.52,0,-0.037384,0.84538269,0.137084961,0.367652893,0.091392517
2.54,0,-0.0270004,0.859916687,0.151626587,0.361419678,0.054008484
2.56,-0.00415802,-0.0290756,0.891075134,0.157859802,0.407112122,0.031158447
2.58,-0.00415802,-0.0332336,0.932617188,0.168243408,0.442428589,0.029083252
2.6,-0.022850037,-0.0290756,0.992851257,0.174476624,0.452812195,0.095550537
2.62,-0.029083252,-0.0249252,1.063476563,0.170318604,0.436195374,0.226402283
2.64,-0.029083252,0,1.140327454,0.176551819,0.3904953,0.359336853
2.66,-0.022850037,0.06231689,1.194335938,0.172401428,0.346878052,0.440345764
2.68,-0.027008057,0.13085938,1.188102722,0.186935425,0.309494019,0.479812622
2.7,-0.018699646,0.21186829,1.179794312,0.201477051,0.307411194,0.490196228
2.72,-0.020774841,0.27833557,1.173561096,0.222251892,0.313644409,0.463195801
2.74,-0.012466431,0.30948639,1.192253113,0.211860657,0.32611084,0.446578979
2.76,-0.016616821,0.32610321,1.204719543,0.199401855,0.319877625,0.486045837
2.78,-0.010391235,0.35311127,1.206794739,0.168243408,0.319877625,0.58782196
2.8,-0.010391235,0.38218689,1.210952759,0.141242981,0.301185608,0.685447693
2.82,-0.012466431,0.40296173,1.219261169,0.116317749,0.270027161,0.743606567
2.84,-0.014541626,0.42580414,1.22756958,0.108009338,0.247177124,0.774757385
2.86,-0.020774841,0.44657898,1.240028381,0.12462616,0.274177551,0.795532227
2.88,-0.016616821,0.45696259,1.244186401,0.141242981,0.317802429,0.807991028
2.9,-0.014541626,0.48188782,1.231719971,0.157859802,0.3904953,0.816299438
2.92,-0.008308411,0.50681305,1.213027954,0.170318604,0.446578979,0.820457458
2.94,-0.012466431,0.51304626,1.215103149,0.182785034,0.492279053,0.828765869
2.96,-0.016616821,0.51097107,1.213027954,0.247177124,0.513046265,0.857841492
2.98,-0.014541626,0.51097107,1.200561523,0.311561584,0.51512146,0.870307922
3,-0.20148468,0.52342987,1.177719116,0.375953674,0.486045837,0.880691528
3.02,-0.33441925,0.52550507,1.169410706,0.400878906,0.481887817,0.851615906
3.04,-0.353111267,0.53381348,1.144485474,0.388420105,0.461120605,0.84122467
3.06,-0.263793945,0.51512146,1.119560242,0.371803284,0.442428589,0.843307495
3.08,-0.162017822,0.47150421,1.09463501,0.369720459,0.429962158,0.870307922
3.1,,0.43411255,1.024009705,0.353103638,0.415420532,0.899383545
3.12,,0.43827057,0.978317261,0.38218689,0.407112122,0.926391602
3.14,,0.42580414,0.990776062,0.434112549,0.3904953,0.953392029
3.16,,0.3157196,1.084243774,0.456962585,0.369728088,0.982467651
3.18,,0.17447662,1.194335938,0.459037781,0.363494873,1.024009705
3.2,,0.159935,1.269111633,0.456962585,0.346878052,1.055168152
3.22,,0.27210236,1.318962097,0.461112976,0.340644836,1.086326599
3.24,,0.40296173,1.391654968,0.486038208,0.346878052,1.136177063
3.26,,0.49850464,1.483047485,0.500579834,0.38634491,1.169410706
3.28,,0.51304626,1.576522827,0.531738281,0.413345337,1.198486328
3.3,,0.50057983,1.628448486,0.544197083,0.465270996,1.22341156
3.32,,0.47357941,1.647140503,0.542121887,0.496429443,1.237953186
3.34,,0.45072937,1.661682129,0.533813477,0.525512695,1.244186401
3.36,,0.48188782,1.659606934,0.527580261,0.546279907,1.267036438
3.38,,0.52135468,1.66583252,0.521354675,0.554588318,1.285728455
3.4,,0.44657898,1.672065735,0.527580261,0.575363159,1.314804077
3.42,,0.32610321,1.703224182,0.513046265,0.604438782,1.339729309
3.44,,0.35518646,1.730224609,0.504737854,0.602363586,1.34803772
3.46,,0.49435425,1.711532593,0.492271423,0.58367157,1.364654541
3.48,,0.56289673,1.66583252,0.504737854,0.535896301,1.393737793
3.5,,0.50888824,1.628448486,0.535888672,0.483970642,1.389579773
3.52,,0.44242096,1.568214417,0.562896729,0.498504639,0.733215332
3.54,,0.48812103,1.443588257,0.589897156,0.544204712,0.286643982
3.56,,0.57743835,1.294036865,0.596130371,0.58367157,0.105934143
3.58,,0.67298126,1.152793884,0.596130371,0.623130798,0.039466858
3.6,,0.7082901,1.078018188,0.598205566,0.650138855,0.014541626
3.62,,0.71037292,1.125785828,0.598205566,0.679214478,-0.008308411
3.64,,0.69998169,1.173561096,0.58782196,0.724914551,-0.006233215
3.66,,0.69790649,1.019859314,0.581588745,0.783073425,-0.008308411
3.68,,0.68336487,0.96585083,0.594047546,0.864074707,0
3.7,,0.65013123,1.044784546,0.598205566,0.97000885,-0.006233215
3.72,,0.61689758,1.080093384,0.604438782,1.065559387,-0.002075195
3.74,,0.57951355,0.982467651,0.600280762,1.150718689,-0.002075195
3.76,,0.52550507,0.824607849,0.594047546,1.036476135,-0.002075195
3.78,,0.43411255,0.710365295,0.591972351,0.469429016,-0.008308411
3.8,,0.42580414,0.683364868,0.571205139,0.172401428,-0.010383606
3.82,,0.57951355,0.747756958,0.571205139,0.060241699,-0.004150391
3.84,,0.70206451,0.839149475,0.577430725,0.014541626,-0.006233215
3.86,,0.73529816,0.888999939,0.591972351,-0.008308411,0.002075195
3.88,,0.72075653,0.90561676,0.610664368,-0.018692017,-0.006233215
3.9,,0.7062149,0.932617188,0.618972778,-0.012458801,-0.008308411
3.92,,0.72075653,0.957542419,0.63974762,-0.018692017,0
3.94,,0.77475739,0.922233582,0.656364441,-0.010383606,-0.014541626
3.96,,0.81838226,0.849533081,0.699981689,-0.012458801,-0.010383606
3.98,,0.85784149,0.822532654,0.747756958,-0.010383606,-0.008308411
4,,0.92223358,0.880691528,0.795532227,-0.020767212,-0.008308411
4.02,,0.97415924,0.988700867,0.843299866,-0.014533997,-0.010383606
4.04,,1.01778412,1.123710632,0.859916687,-0.010383606,-0.012458801
4.06,,1.05101776,1.186027527,0.886924744,-0.012458801,-0.008308411
4.08,,1.0136261,1.194335938,0.911849976,-0.016616821,-0.004150391
4.1,,0.49019623,1.177719116,0.932617188,-0.016616821,-0.014541626
4.12,,0.17447662,1.127868652,0.947158813,-0.014533997,0
4.14,,0.05608368,1.092552185,0.963775635,-0.018692017,-0.008308411
4.16,,0.00623322,1.125785828,0.951309204,-0.020767212,-0.008308411
4.18,,-0.0103836,1.229644775,0.953392029,-0.020767212,-0.006233215
4.2,,-0.0166168,1.345962524,0.986625671,-0.012458801,-0.004150391
4.22,,-0.0166168,1.40827179,1.057243347,-0.016616821,-0.014541626
4.24,,-0.018692,1.410354614,1.071784973,-0.020767212,-0.016616821
4.26,,-0.0207672,1.370887756,1.096710205,-0.010383606,-0.012458801
4.28,,-0.018692,1.304420471,1.142402649,-0.008308411,-0.012458801
4.3,,-0.0249252,1.202644348,1.219261169,-0.012458801,-0.010383606
4.32,,-0.0207672,1.096710205,1.28780365,-0.012458801,-0.006233215
4.34,,-0.02285,1.001159668,1.34803772,-0.016616821,-0.006233215
4.36,,-0.02285,0.967926025,1.397888184,-0.012458801,-0.012458801
4.38,,-0.0249252,0.916000366,1.445663452,-0.016616821,-0.008308411
