S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_V2,S2_Pre,S2_T1,S2_T2,S2_T3,S2_T4,S2_T5,S3_Pre,S3_T1,S3_T2,S3_T3,S3_T4,S3_T5,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5,Time
-0.014541626,-0.020767212,0.008308411,-0.024925232,-0.0062332,0.089309692,-0.024925232,-0.016616821,-0.022850037,-0.033233643,-0.035308838,-0.031158447,-0.002082825,0.502655029,-0.0062332,-0.033233643,-0.002075195,0.002082825,0,-0.035308838,0.06439209,0.012458801,0.002082825,0.006233215,0.002082825,0.74
-0.010383606,-0.016616821,0.002075195,-0.027000427,-0.0083084,0,-0.022850037,-0.014541626,-0.018699646,-0.033233643,-0.033233643,-0.027008057,0.006225586,0.623130798,-0.0062332,-0.033233643,0.004150391,-0.002075195,0,-0.035308838,0.035308838,0.002075195,0,0.008308411,0.012466431,0.76
-0.004150391,-0.018692017,-0.002082825,-0.020767212,-0.0145416,-0.029083252,-0.029075623,-0.012466431,-0.024925232,-0.035308838,-0.024925232,-0.029083252,0.008308411,0.733215332,-0.0041504,-0.035308838,-0.002075195,0.006233215,0.002075195,-0.031158447,0.018692017,-0.002082825,0.002082825,0.006233215,0.008308411,0.78
0.002075195,-0.022850037,0.002075195,-0.016616821,-0.0145416,-0.045700073,-0.024925232,-0.010391235,-0.029083252,-0.039466858,-0.029075623,-0.027008057,0,0.810066223,-0.0062332,-0.039466858,-0.002075195,-0.002075195,0.008308411,-0.031158447,0.010383606,0.002075195,0.00415802,0.008308411,0.008308411,0.8
-0.004150391,-0.014541626,0.006225586,-0.027000427,-0.0145416,-0.047775269,-0.024925232,-0.016616821,-0.029083252,-0.033233643,-0.020767212,-0.029083252,0,0.868225098,-0.018692,-0.033233643,0.006233215,0.010391235,0.008308411,-0.035308838,0.018692017,-0.00415802,0.006233215,0.00415802,0.008308411,0.82
0.006233215,-0.020767212,0.004150391,-0.024925232,-0.0083084,-0.049850464,-0.024925232,-0.012466431,-0.029083252,-0.033233643,-0.033233643,-0.020774841,-0.00415802,0.876533508,-0.0062332,-0.033233643,0.002075195,0.00415802,-0.002075195,-0.041542053,0.054008484,-0.010391235,0.00415802,0.008308411,0.00415802,0.84
0.010383606,-0.022850037,5.55E-17,-0.022842407,-0.018692,-0.045700073,-0.020767212,-0.020774841,-0.027008057,-0.031158447,-0.018692017,-0.027008057,0.006225586,0.778907776,-0.0083084,-0.031158447,0.004150391,0.002082825,-0.002075195,-0.041542053,0.093467712,-0.002082825,0,0.002082825,0,0.86
0.010383606,-0.022850037,0.006225586,-0.027000427,-0.0124664,-0.043624878,-0.027000427,-0.016616821,-0.024925232,-0.035308838,-0.027000427,-0.022850037,0,0.687515259,-0.0124588,-0.035308838,0.002075195,0.002082825,-0.002075195,-0.047775269,0.120475769,-0.008308411,0.002082825,0.012466431,0.002082825,0.88
0.008308411,-0.024925232,0.002075195,-0.027000427,-0.0124664,-0.051933289,-0.022850037,-0.016616821,-0.029083252,-0.031158447,-0.022850037,-0.029083252,0.004150391,0.645973206,-0.0062332,-0.031158447,0.002075195,0.002082825,0,-0.047775269,0.13709259,0,-0.002075195,0.010391235,0.002082825,0.9
0.006233215,-0.022850037,0.004150391,-0.024925232,-0.0103836,-0.051933289,-0.020767212,-0.010391235,-0.024925232,-0.033233643,-0.024925232,-0.029083252,0.008308411,0.589897156,-0.0103836,-0.033233643,-0.002075195,0.010391235,0,-0.051925659,0.151626587,-0.002082825,0.00415802,0.008308411,0.00415802,0.92
