Time,S1_Pre,S1_T1,S1_T2,S1_T3,S1_T4,S1_T5,S1_T5_2
1.92,-0.018692017,0.06023407,0.234710693,-0.022842407,0.62936401,-0.037391663,-0.024925232
1.94,-0.016616821,0.095550537,0.211860657,-0.020767212,0.6210556,-0.037391663,-0.020767212
1.96,-0.016616821,0.105934143,0.261711121,-0.022842407,0.60443878,-0.029083252,-0.024925232
1.98,-0.014541626,0.112167358,0.297019958,-0.031150818,0.56497192,-0.037391663,-0.027000427
2,-0.020767212,0.103858948,0.305328369,-0.027000427,0.53173828,-0.037391663,-0.018692017
2.02,-0.027000427,0.089317322,0.292869568,-0.018692017,0.49227142,-0.037391663,-0.016616821
2.04,-0.014541626,0.070625305,0.276252747,-0.024925232,0.44242096,-0.035316467,-0.027000427
2.06,-0.010383606,0.06439209,0.263786316,-0.039459229,0.41542053,-0.041542053,-0.031158447
2.08,-0.012458801,0.070625305,0.243019104,-0.037384033,0.39464569,-0.039466858,-0.024925232
2.1,-0.010383606,0.085159302,0.243019104,-0.027000427,0.36972046,-0.039466858,-0.022850037
2.12,-0.016616821,0.089317322,0.222244263,-0.024925232,0.35518646,-0.033233643,-0.031158447
2.14,-0.008308411,0.089317322,0.205627441,-0.022842407,0.33441162,-0.029083252,-0.022850037
2.16,-0.012458801,0.097625732,0.184860229,-0.035308838,0.31364441,-0.035316467,-0.020767212
2.18,-0.020767212,0.112167358,0.162010193,-0.041542053,0.30117798,-0.037391663,-0.022850037
2.2,-0.012458801,0.108009338,0.151626587,-0.06023407,0.31156158,-0.039466858,-0.020767212
2.22,-0.016616821,0.108009338,0.18901062,-0.06023407,0.31987,-0.041542053,-0.016616821
2.24,-0.012458801,0.118392944,0.25340271,-0.05607605,0.3157196,-0.037391663,-0.027000427
2.26,-0.014541626,0.122550964,0.303253174,-0.054000854,0.31987,-0.039466858,-0.027000427
2.28,-0.012458801,0.141242981,0.340644836,-0.045692444,0.305336,-0.041542053,-0.020767212
2.3,-0.012458801,0.170326233,0.346870422,-0.047767639,0.29286957,-0.037391663,-0.022850037
2.32,-0.012458801,0.195251465,0.348953247,-0.045692444,0.29079437,-0.039466858,-0.029075623
2.34,-0.008308411,0.216018677,0.355178833,-0.047767639,0.31156158,-0.037391663,-0.027000427
2.36,-0.020767212,0.224327087,0.348953247,-0.047767639,0.34895325,-0.037391663,-0.029075623
2.38,-0.018692017,0.209785461,0.328178406,-0.049850464,0.3904953,-0.035316467,-0.029075623
2.4,-0.014541626,0.182785034,0.32194519,-0.049850464,0.41542053,-0.031158447,-0.022850037
2.42,-0.016616821,0.076850891,0.330253601,-0.045692444,0.45280457,-0.033233643,-0.029075623
2.44,-0.014541626,0.022850037,0.328178406,-0.051925659,0.48188782,-0.035316467,-0.027000427
2.46,-0.016616821,-0.004150391,0.280403137,-0.05607605,0.46111298,-0.033233643,-0.031158447
2.48,-0.012458801,-0.014541626,0.19316864,-0.051925659,0.40918732,-0.035316467,-0.027000427
2.5,-0.010383606,-0.012458801,0.097618103,-0.049850464,0.33648682,-0.035316467,-0.016616821
2.52,-0.006233215,0.043617249,0.031150818,-0.054000854,0.27832794,-0.037391663,-0.027000427
2.54,0.010383606,0.114242554,0.006225586,-0.045692444,0.19316864,-0.043624878,-0.020767212
2.56,0.024925232,0.114242554,-0.002082825,-0.051925659,0.15578461,-0.041542053,-0.016616821
2.58,0.051925659,0.095550537,-0.006233215,-0.047767639,0.14124298,-0.037391663,-0.027000427
2.6,0.074775696,0.083084106,-0.010391235,-0.018692017,0.14124298,-0.037391663,-0.033233643
2.62,0.108009338,0.06023407,-0.006233215,0.010391235,0.13085938,-0.035316467,-0.027000427
2.64,0.126701355,0.037391663,0.002075195,0.033233643,0.13708496,-0.037391663,-0.031158447
2.66,0.147476196,0.085159302,-0.00415802,0.049850464,0.11215973,-0.037391663,-0.031158447
2.68,0.170326233,0.176551819,-0.010391235,0.047775269,0.0851593,-0.037391663,-0.029075623
2.7,0.211868286,0.263793945,-0.010391235,0.047775269,0.0747757,-0.039466858,-0.027000427
2.72,0.236793518,0.267944336,-0.018699646,0.035316467,0.05400085,-0.039466858,-0.020767212
2.74,0.263793945,0.230560303,-0.014541626,0.014541626,0.05400085,-0.041542053,0.035308838
2.76,0.267944336,0.191093445,-0.00415802,-0.006225586,0.04569244,-0.043624878,-0.027000427
2.78,0.274177551,0.172401428,-0.012466431,-0.029075623,0.04361725,-0.037391663,-0.029075623
2.8,0.294952393,0.220176697,-0.006233215,-0.035308838,0.04154205,-0.041542053,-0.012458801
2.82,0.373878479,0.286643982,-0.010391235,-0.018692017,0.03738403,-0.037391663,-0.020767212
2.84,0.469429016,0.297027588,-0.012466431,-0.018692017,0.03530884,-0.037391663,-0.012458801
2.86,0.554588318,0.301177979,-0.012466431,-0.018692017,0.03323364,-0.035316467,-0.016616821
2.88,0.591972351,0.294952393,-0.010391235,-0.024925232,0.02492523,-0.037391663,-0.014541626
2.9,0.608589172,0.286643982,-0.014541626,-0.027000427,0.01454163,-0.037391663,-0.014541626
2.92,0.600280762,0.265869141,-0.006233215,-0.033233643,0.02700043,-0.039466858,0.041542053
2.94,0.618980408,0.240943909,-0.014541626,-0.039459229,0.01661682,-0.041542053,0.110084534
2.96,0.641822815,0.243019104,-0.006233215,-0.043617249,0.01869202,-0.043624878,0.143318176
2.98,0.65221405,0.238868713,-0.012466431,-0.035308838,0.0124588,-0.043624878,0.153709412
3,0.656364441,0.238868713,-0.008308411,-0.033233643,0.01454163,-0.039466858,0.159934998
3.02,0.656364441,0.216018677,-0.00415802,-0.033233643,0.01661682,-0.043624878,0.157859802
3.04,0.662597656,0.205635071,-0.010391235,-0.033233643,0.02492523,-0.045700073,0.170326233
3.06,0.668830872,0.209785461,-0.016616821,-0.031150818,0.03115845,-0.039466858,0.182785034
3.08,0.685447693,0.251327515,-0.008308411,-0.033233643,0.02285004,-0.035316467,0.178634644
3.1,0.689598083,0.276252747,-0.012466431,-0.029075623,0.02285004,-0.037391663,0.172401428
3.12,0.699981689,0.284561157,-0.008308411,-0.037384033,0.04569244,-0.041542053,0.162017822
3.14,0.702064514,0.292869568,-0.016616821,-0.033233643,0.0727005,-0.035316467,0.166168213
3.16,0.695831299,0.299102783,-0.006233215,-0.037384033,0.0872345,-0.035316467,0.166168213
3.18,0.697906494,0.342720032,-0.006233215,-0.029075623,0.10177612,-0.037391663,0.159934998
3.2,0.724906921,0.392570496,-0.008308411,-0.020767212,0.11839294,-0.041542053,0.153709412
3.22,0.756065369,0.423728943,-0.008308411,-0.016616821,0.15370178,-0.041542053,0.153709412
3.24,0.797607422,0.436195374,-0.010391235,-0.004150391,0.19316864,-0.033233643,0.162017822
3.26,0.660522461,0.467346191,-0.006233215,-0.002075195,0.2326355,-0.035316467,0.176551819
3.28,0.57535553,0.477737427,-0.012466431,-0.006225586,0.27001953,-0.037391663,0.19732666
3.3,0.546279907,0.494354248,-0.010391235,0,0.30325317,-0.039466858,0.226402283
3.32,0.573280334,0.525505066,-0.002082825,0.006233215,0.34064484,-0.041542053,0.259635925
3.34,0.560821533,0.550430298,-0.010391235,0.012466431,0.38633728,-0.039466858,0.284561157
3.36,0.51927948,0.57951355,-0.008308411,0.00415802,0.42580414,-0.031158447,0.301177979
3.38,0.488121033,0.596130371,-0.006233215,0.00415802,0.44449615,-0.035316467,0.282485962
3.4,0.521354675,0.616897583,-0.00415802,0.002082825,0.43411255,-0.041542053,0.272102356
3.42,0.58782196,0.625205994,-0.008308411,0,0.43203735,-0.033233643,0.276252747
3.44,0.623130798,0.612747192,-0.002082825,-0.002075195,0.43827057,-0.039466858,0.288719177
3.46,0.614822388,0.594055176,-0.006233215,0,0.43827057,-0.039466858,0.32195282
3.48,0.537971497,0.581588745,-0.010391235,-0.004150391,0.44657898,-0.037391663,0.369728088
3.5,0.411270142,0.57951355,-0.010391235,-0.002075195,0.43203735,-0.043624878,0.398803711
3.52,0.297027588,0.602363586,-0.006233215,0,0.3904953,-0.041542053,0.434112549
3.54,0.228485107,0.618980408,-0.010391235,-0.004150391,0.33233643,-0.031158447,0.469429016
3.56,0.209785461,0.633514404,-0.006233215,-0.012458801,0.2450943,-0.041542053,0.494354248
3.58,0.209785461,0.656364441,-0.010391235,-0.022842407,0.19524384,-0.037391663,0.535896301
3.6,0.236793518,0.672981262,-0.006233215,-0.031150818,0.18901825,-0.035316467,0.562896729
3.62,0.228485107,0.697906494,-0.012466431,-0.033233643,0.21601868,-0.041542053,0.573280334
3.64,0.220176697,0.726989746,-0.018699646,-0.020767212,0.27832794,-0.035316467,0.58366394
3.66,0.224327087,0.747756958,-0.014541626,-0.024925232,0.34687805,-0.039466858,0.594055176
3.68,0.284561157,0.770606995,-0.018699646,-0.022842407,0.39464569,-0.045700073,0.616897583
3.7,0.355186462,0.787223816,-0.016616821,-0.027000427,0.37595367,-0.043624878,0.645980835
3.72,0.398803711,0.803840637,-0.012466431,-0.020767212,0.35310364,-0.043624878,0.658439636
3.74,0.409187317,0.814224243,-0.00415802,-0.024925232,0.35310364,-0.043624878,0.675056458
3.76,0.388420105,0.816299438,-0.006233215,-0.024925232,0.35726166,-0.039466858,0.681289673
3.78,0.384262085,0.818382263,0.004150391,-0.035308838,0.35310364,-0.043624878,0.706214905
3.8,0.3904953,0.805915833,-0.002082825,-0.024925232,0.35102844,-0.039466858,0.726989746
3.82,0.411270142,0.812149048,0.004150391,-0.006225586,0.31156158,-0.041542053,0.731140137
3.84,0.407112122,0.780990601,-0.002082825,0.010391235,0.28456116,-0.039466858,0.718681335
3.86,0.371803284,0.760223389,0.004150391,0.020774841,0.25340271,-0.043624878,0.710372925
3.88,0.336494446,0.741523743,0.006225586,0.031158447,0.20355225,-0.043624878,0.729064941
3.9,0.313644409,0.724906921,0.002075195,0.041542053,0.159935,-0.039466858,0.751914978
3.92,0.332336426,0.722831726,0.004150391,0.039466858,0.1703186,-0.033233643,0.758140564
