Time,S4_Pre,S4_T1_V2,S4_T2,S4_T3,S4_T4,S4_T5
2.16,0.274177551,1.061401367,1.524589539,0.089317322,0.38218689,0.533821106
2.18,0.226402283,1.086326599,1.514205933,0.095550537,0.442428589,0.542129517
2.2,0.147476196,1.127868652,1.574440002,0.118400574,0.467353821,0.573280334
2.22,0.058158875,1.190177917,1.688682556,0.139167786,0.446578979,0.581588745
2.24,0.004150391,1.256645203,1.794616699,0.155784607,0.405036926,0.57951355
2.26,-0.018692017,1.310653687,1.883926392,0.159942627,0.357261658,0.585746765
2.28,-0.020774841,1.35634613,1.979476929,0.178634644,0.346878052,0.602363586
2.3,0.018692017,1.402046204,2.06463623,0.180709839,0.369728088,0.589897156
2.32,0.095542908,1.431121826,2.139411926,0.18901825,0.402961731,0.558746338
2.34,0.151626587,1.468513489,1.339729309,0.170326233,0.423728943,0.558746338
2.36,0.170318604,1.48513031,0.542121887,0.118400574,0.39465332,0.569129944
2.38,0.166168213,1.468513489,0.201477051,0.081008911,0.32611084,0.616905212
2.4,0.130859375,1.437355042,0.066467285,0.087242126,0.259643555,0.681289673
2.42,0.070617676,1.408279419,0.016616821,0.105934143,0.216018677,0.729064941
2.44,0.058158875,1.414505005,0.012458801,0.101783752,0.236793518,0.756065369
2.46,0.126701355,1.460205078,0,0.083084106,0.255485535,0.758148193
2.48,0.201477051,1.510055542,-0.00415802,0.076858521,0.288719177,0.77268219
2.5,0.25756073,1.522514343,-0.006233215,0.101783752,0.32611084,0.797607422
2.52,0.286636353,1.503822327,-0.006233215,0.141242981,0.336494446,0.830841064
2.54,0.351028442,1.483055115,-0.010391235,0.162017822,0.33026123,0.874465942
2.56,0.423728943,1.458129883,-0.010391235,0.149551392,0.348953247,0.922233582
2.58,0.504737854,1.449821472,-0.006233215,0.12878418,0.373878479,0.957550049
2.6,0.608589172,1.437355042,-0.008308411,0.097625732,0.402961731,1.011550903
2.62,0.668823242,1.433204651,-0.010391235,0.058158875,0.442428589,1.063476563
2.64,0.697906494,1.433204651,0,0.033233643,0.502662659,1.121635437
2.66,0.739448547,1.460205078,-0.012466431,0.039466858,0.558746338,1.16317749
2.68,0.770606995,1.501747131,-0.008308411,0.095550537,0.598205566,1.183952332
2.7,0.793449402,1.526672363,-0.008308411,0.149551392,0.618980408,1.111251831
2.72,0.824607849,1.551597595,-0.008308411,0.149551392,0.627288818,0.535896301
2.74,0.853691101,1.580673218,-0.010391235,0.112167358,0.641830444,0.213943481
2.76,0.882766724,1.642990112,-0.014541626,0.058158875,0.662597656,0.085166931
2.78,0.913925171,1.723999023,-0.014541626,0.045700073,0.677139282,0.041542053
2.8,0.943000793,1.850700378,-0.008308411,0.056083679,0.71660614,0.016616821
2.82,0.980392456,1.522514343,-0.010391235,0.076858521,0.768531799,0.012466431
2.84,1.009468079,0.666748047,-0.008308411,0.095550537,0.84538269,0.010391235
2.86,1.028167725,0.26171875,0.002075195,0.116317749,0.90146637,0.010391235
2.88,1.082168579,0.099700928,-0.00415802,0.172401428,0.936775208,0.006233215
2.9,1.146560669,0.041542053,-0.012466431,0.238868713,0.965858459,0.006233215
2.92,1.210952759,0.024925232,-0.014541626,0.307411194,0.986625671,0.00415802
2.94,1.254570007,0.018692017,-0.00415802,0.351036072,0.982475281,0.00415802
2.96,1.312728882,0.008308411,-0.008308411,0.384269714,0.988700867,0.002082825
2.98,1.350112915,0.002075195,-0.006233215,0.398803711,0.978317261,0.00415802
3,1.370887756,0.008308411,0.002075195,0.419578552,0.959625244,0.010391235
3.02,1.389579773,0.00415802,0.002075195,0.427886963,0.959625244,0.006233215
3.04,1.395812988,0.010383606,0.004150391,0.450737,0.951316833,-0.002075195
3.06,1.40827179,0.012466431,0.004150391,0.45488739,0.955467224,0
3.08,1.443588257,0.012466431,-0.002082825,0.448654175,0.976242065,0.00415802
3.1,1.499664307,0.018692017,0.006225586,0.440345764,0.980392456,0.010391235
3.12,1.54120636,0.012466431,0.004150391,0.427886963,0.978317261,0.006233215
3.14,1.449813843,0.00415802,0.008308411,0.438270569,0.988700867,0.00415802
3.16,0.672981262,0.008308411,0.008308411,0.45488739,1.001167297,0.008308411
3.18,0.236785889,0.014541626,0.004150391,0.504737854,1.009475708,0.00415802
3.2,0.06854248,0.006233215,0.002075195,0.525512695,1.017784119,0.008308411
3.22,0,0.010383606,0.004150391,0.521354675,1.019859314,0.012466431
3.24,-0.024925232,0.008308411,0.002075195,0.481887817,1.019859314,0.008308411
3.26,-0.031158447,0.008308411,0.008308411,0.479812622,1.009475708,-0.002075195
3.28,-0.031158447,0.014541626,0.002075195,0.525512695,0.986625671,0.008308411
3.3,-0.035308838,0.008308411,0.004150391,0.589897156,0.938850403,0.00415802
3.32,-0.035308838,0.006233215,0.004150391,0.633522034,0.891082764,0.008308411
3.34,-0.039466858,0.010383606,-0.002082825,0.662597656,0.997009277,0.008308411
3.36,-0.037391663,0.010383606,0.006225586,0.691680908,1.024017334,0.006233215
3.38,-0.037391663,0.010383606,0.002075195,0.741531372,1.080093384,0.006233215
3.4,-0.041542053,0.008308411,0.002075195,0.778915405,1.082176208,0.006233215
3.42,-0.045700073,0.00415802,0.006225586,0.805915833,1.038551331,0.006233215
3.44,-0.041542053,0,0,0.805915833,0.945083618,0.010391235
3.46,-0.035308838,0.012466431,0.002075195,0.805915833,0.820457458,0.010391235
3.48,-0.043617249,0.00415802,0.006225586,0.812149048,0.739448547,0.002082825
3.5,-0.039466858,0.008308411,0.002075195,0.810073853,0.704139709,-0.002075195
3.52,-0.033233643,0.00415802,0,0.803840637,0.631439209,0.008308411
3.54,-0.043617249,0.00415802,0.004150391,0.801765442,0.567054749,0.008308411
3.56,-0.037391663,0.008308411,0.006225586,0.789299011,0.537971497,0.002082825
3.58,-0.035308838,0.006233215,0.004150391,0.768531799,0.533821106,-0.002075195
3.6,-0.039466858,0.016616821,0.006225586,0.758148193,0.548355103,0.006233215
3.62,-0.039466858,0.016616821,0.010383606,0.751914978,0.581588745,0.006233215
3.64,-0.033233643,0.016616821,0.006225586,0.758148193,0.600288391,0.00415802
3.66,-0.033233643,0.010383606,0.002075195,0.756065369,0.614822388,0
3.68,-0.041542053,0.006233215,0.008308411,0.741531372,0.64805603,0.008308411
3.7,-0.041542053,0.00415802,0.006225586,0.718681335,0.71244812,0.002082825
3.72,-0.051925659,0.008308411,0.004150391,0.708297729,0.774765015,0.002082825
3.74,-0.043617249,0.006233215,0,0.729064941,0.807998657,0.002082825
3.76,-0.039466858,0.010383606,0.006225586,0.753990173,0.832923889,0.008308411
3.78,-0.045700073,0.008308411,0.008308411,0.77684021,0.818382263,0.00415802
3.8,-0.037391663,0.008308411,0.004150391,0.793457031,0.795532227,0.006233215
3.82,-0.041542053,0.008308411,-0.00415802,0.801765442,0.783073425,0.008308411
3.84,-0.037391663,0.012466431,0.008308411,0.826690674,0.758148193,0.00415802
3.86,-0.041542053,0,0.002075195,0.828765869,0.710372925,0.00415802
3.88,-0.047775269,0.00415802,-0.00415802,0.824615479,0.677139282,0
3.9,-0.041542053,0.008308411,0.006225586,0.820457458,0.683372498,0
3.92,-0.041542053,0.008308411,0.006225586,0.820457458,0.735298157,0.008308411
3.94,-0.043617249,0.010383606,0.002075195,0.834999084,0.787223816,0.008308411
3.96,-0.037391663,0.012466431,0.002075195,0.84954071,0.851615906,0.008308411
3.98,-0.033233643,0.00415802,0,0.866157532,0.857849121,0.010391235
4,-0.029083252,0.002075195,-0.002082825,0.880691528,0.868232727,0.012466431
