Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N),Data Set 6:Time(s),Data Set 6:Force G(N)
,,2.2599999999999998,0.0062255859375,2.2599999999999998,-0.0124664306640625,2.2599999999999998,-0.01038360595703125,2.2599999999999998,-0.03946685791015625,2.2599999999999998,-0.02700042724609375
,,2.2799999999999998,0.0062255859375,2.2799999999999998,-0.0145416259765625,2.2799999999999998,-0.0166168212890625,2.2799999999999998,-0.04154205322265625,2.2799999999999998,-0.0207672119140625
,,2.2999999999999998,0,2.2999999999999998,-0.0166168212890625,2.2999999999999998,-0.00830841064453125,2.2999999999999998,-0.03739166259765625,2.2999999999999998,-0.02285003662109375
,,2.3199999999999998,0.0062255859375,2.3199999999999998,-0.0103912353515625,2.3199999999999998,-0.01038360595703125,2.3199999999999998,-0.03946685791015625,2.3199999999999998,-0.02907562255859375
,,2.3399999999999999,0.0020751953125,2.3399999999999999,-0.00830841064453125,2.3399999999999999,-0.0124664306640625,2.3399999999999999,-0.03739166259765625,2.3399999999999999,-0.02700042724609375
,,2.3599999999999999,0.00830841064453125,2.3599999999999999,-0.0124664306640625,2.3599999999999999,-0.01038360595703125,2.3599999999999999,-0.03739166259765625,2.3599999999999999,-0.02907562255859375
,,2.3799999999999999,0.0020751953125,2.3799999999999999,-0.00830841064453125,2.3799999999999999,-0.01038360595703125,2.3799999999999999,-0.03531646728515625,2.3799999999999999,-0.02907562255859375
,,2.3999999999999999,0,2.3999999999999999,-0.00415802001953125,2.3999999999999999,-0.0020751953125,2.3999999999999999,-0.031158447265625,2.3999999999999999,-0.02285003662109375
,,2.4199999999999999,0.00830841064453125,2.4199999999999999,-0.00623321533203125,2.4199999999999999,-0.01038360595703125,2.4199999999999999,-0.033233642578125,2.4199999999999999,-0.02907562255859375
,,2.4399999999999999,0.0020751953125,2.4399999999999999,-0.0103912353515625,2.4399999999999999,-0.01038360595703125,2.4399999999999999,-0.03531646728515625,2.4399999999999999,-0.02700042724609375
,,2.46,0.0020751953125,2.46,-0.0124664306640625,2.46,-0.00415802001953125,2.46,-0.033233642578125,2.46,-0.031158447265625
,,2.48,0.0020751953125,2.48,-0.0124664306640625,2.48,-0.00623321533203125,2.48,-0.03531646728515625,2.48,-0.02700042724609375
,,2.5,0.004150390625,2.5,-0.0103912353515625,2.5,-0.00623321533203125,2.5,-0.03531646728515625,2.5,-0.0166168212890625
,,2.52,-0.00208282470703125,2.52,-0.00830841064453125,2.52,-0.00623321533203125,2.52,-0.03739166259765625,2.52,-0.02700042724609375
,,2.54,-0.00623321533203125,2.54,-0.00830841064453125,2.54,-0.01038360595703125,2.54,-0.0436248779296875,2.54,-0.0207672119140625
,,2.5600000000000001,-0.00415802001953125,2.5600000000000001,-0.00623321533203125,2.5600000000000001,-0.0020751953125,2.5600000000000001,-0.04154205322265625,2.5600000000000001,-0.0166168212890625
,,2.5800000000000001,-0.00208282470703125,2.5800000000000001,-0.0124664306640625,2.5800000000000001,-0.00830841064453125,2.5800000000000001,-0.03739166259765625,2.5800000000000001,-0.02700042724609375
,,2.6000000000000001,0.00830841064453125,2.6000000000000001,-0.0103912353515625,2.6000000000000001,-0.00830841064453125,2.6000000000000001,-0.03739166259765625,2.6000000000000001,-0.033233642578125
,,2.6200000000000001,0.004150390625,2.6200000000000001,-0.0103912353515625,2.6200000000000001,-0.01038360595703125,2.6200000000000001,-0.03531646728515625,2.6200000000000001,-0.02700042724609375
,,2.6400000000000001,0.0062255859375,2.6400000000000001,-0.0145416259765625,2.6400000000000001,-0.00623321533203125,2.6400000000000001,-0.03739166259765625,2.6400000000000001,-0.031158447265625
